trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
647,False,"{'a': 0.5, 'e': 4.551723744799878e-06}",25,11,24.57032168047197,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.5, 'e': 4.329734519410802e-06}",20,12,18.698959896309322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.5, 'e': 4.118571744832628e-06}",30,18,24.79794666586177,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.5, 'e': 3.917707417532795e-06}",30,19,16.481880888656622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.5, 'e': 3.726639284186561e-06}",20,11,18.290429062493697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 3.5448895859034296e-06}",20,13,13.320877860828567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.5, 'e': 3.372003863690787e-06}",20,14,12.766454447248476,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.5, 'e': 3.2075498221689923e-06}",30,0,44.87389514160179,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
655,False,"{'a': 0.5, 'e': 3.0511162486976553e-06}",20,9,23.704781228299815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.5, 'e': 2.902311985211097e-06}",20,13,11.613629893666907,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.5, 'e': 2.7607649501930464e-06}",20,3,30.073171280422237,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.5, 'e': 2.6261212083455916e-06}",30,15,29.195816863614322,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.5, 'e': 2.498044085626793e-06}",20,9,23.932151433026963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.5, 'e': 2.376213327444748e-06}",20,8,19.86497426239556,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.5, 'e': 2.2603242979035746e-06}",20,6,26.521896827137574,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.5, 'e': 2.150087218099642e-06}",20,10,20.05852787946429,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
